文件：C:/提示词/工作区/字替对照-0909/variantF/main.pdf
拉伸异常行 = 73（空档 107 处）
  p5 y=374.6 [CJK-CJK] '六'→'数' 23.97pt/8.456mm (限5.99)
  p5 y=716.1 [CJK-西文] ']'→'已' 6.24pt/2.2mm (限5.23)
  p5 y=799.5 [CJK-CJK] '章'→'空' 5.22pt/1.842mm (限2.61)
  p5 y=799.5 [CJK-CJK] '何'→'导' 5.22pt/1.842mm (限2.61)
  p6 y=75.9 [CJK-西文] '◆'→'探' 6.8pt/2.4mm (限4.28)
  p6 y=75.9 [CJK-CJK] '九'→'数' 23.97pt/8.456mm (限5.99)
  p6 y=99.9 [CJK-西文] ']'→'已' 6.24pt/2.2mm (限5.23)
  p6 y=155.5 [CJK-西文] '；'→'D' 20.62pt/7.274mm (限5.23)
  p6 y=263.8 [CJK-西文] '◆'→'探' 6.8pt/2.4mm (限4.28)
  p6 y=263.8 [CJK-CJK] '八'→'数' 23.97pt/8.456mm (限5.99)
  p6 y=355.8 [CJK-西文] '是'→'(' 50.83pt/17.932mm (限5.03)
  p6 y=373.4 [CJK-西文] '；'→'B' 73.77pt/26.024mm (限5.23)
  p6 y=403.0 [CJK-西文] ']'→'已' 6.24pt/2.2mm (限5.23)
  p6 y=537.6 [CJK-西文] ']'→'在' 6.24pt/2.2mm (限5.23)
  p6 y=799.6 [CJK-CJK] '学'→'选' 5.22pt/1.842mm (限2.61)
  p7 y=77.6 [CJK-CJK] '价'→'素' 6.48pt/2.284mm (限3.24)
  p7 y=93.0 [CJK-西文] ']'→'已' 6.24pt/2.2mm (限5.23)
  p7 y=173.7 [CJK-西文] ']'→'设' 6.24pt/2.2mm (限5.23)
  p7 y=212.3 [CJK-西文] '；'→'B' 24.49pt/8.638mm (限5.23)
  p7 y=212.3 [CJK-西文] '；'→'C' 26.37pt/9.302mm (限5.23)
  p7 y=212.3 [CJK-西文] '；'→'D' 18.16pt/6.406mm (限5.23)
  p7 y=275.3 [CJK-西文] ']'→'设' 6.24pt/2.2mm (限5.23)
  p7 y=414.1 [CJK-西文] ']'→'非' 5.03pt/1.773mm (限5.03)
  p7 y=439.7 [CJK-西文] ']'→'在' 6.24pt/2.2mm (限5.23)
  p7 y=479.5 [CJK-西文] '；'→'B' 11.82pt/4.171mm (限5.23)
  p7 y=479.5 [CJK-西文] '；'→'C' 10.76pt/3.796mm (限5.23)
  p7 y=479.5 [CJK-西文] '；'→'D' 17.66pt/6.231mm (限5.23)
  p7 y=514.6 [CJK-西文] ']'→'取' 5.03pt/1.773mm (限5.03)
  p7 y=559.2 [CJK-西文] ']'→'已' 6.24pt/2.2mm (限5.23)
  p7 y=799.5 [CJK-CJK] '章'→'空' 5.22pt/1.842mm (限2.61)
  p7 y=799.5 [CJK-CJK] '何'→'导' 5.22pt/1.842mm (限2.61)
json → v3_扫描.json
小结：异常行 73／空档 107
