文件：C:/提示词/工作区/字替对照-0909/variantF/main.pdf
拉伸异常行 = 75（空档 107 处）
  p5 y=308.4 [CJK-西文] '式'→'1' 9.67pt/3.412mm (限5.99)
  p5 y=308.4 [CJK-西文] '档'→'(' 6.4pt/2.259mm (限5.23)
  p5 y=308.4 [CJK-西文] ']'→'在' 6.24pt/2.2mm (限5.23)
  p5 y=327.8 [CJK-西文] '1'→'中' 3.76pt/1.325mm (限3.52)
  p5 y=505.9 [CJK-西文] '◆'→'探' 6.8pt/2.4mm (限4.28)
  p5 y=505.9 [CJK-CJK] '八'→'数' 23.97pt/8.456mm (限5.99)
  p5 y=571.0 [CJK-西文] '◆'→'探' 6.8pt/2.4mm (限4.28)
  p5 y=571.0 [CJK-CJK] '七'→'数' 23.97pt/8.456mm (限5.99)
  p5 y=595.0 [CJK-西文] ']'→'已' 6.24pt/2.2mm (限5.23)
  p5 y=597.5 [CJK-西文] '是'→'(' 50.83pt/17.932mm (限5.03)
  p5 y=614.2 [CJK-西文] '；'→'B' 73.77pt/26.024mm (限5.23)
  p5 y=799.5 [CJK-CJK] '章'→'空' 5.22pt/1.842mm (限2.61)
  p5 y=799.5 [CJK-CJK] '何'→'导' 5.22pt/1.842mm (限2.61)
  p6 y=55.3 [CJK-西文] ']'→'在' 6.24pt/2.2mm (限5.23)
  p6 y=230.6 [CJK-西文] ']'→'已' 6.24pt/2.2mm (限5.23)
  p6 y=311.3 [CJK-西文] ']'→'设' 6.24pt/2.2mm (限5.23)
  p6 y=318.0 [CJK-西文] '◆'→'探' 6.8pt/2.4mm (限4.28)
  p6 y=318.0 [CJK-CJK] '九'→'数' 23.97pt/8.456mm (限5.99)
  p6 y=341.9 [CJK-西文] ']'→'已' 6.24pt/2.2mm (限5.23)
  p6 y=349.9 [CJK-西文] '；'→'B' 24.49pt/8.639mm (限5.23)
  p6 y=349.9 [CJK-西文] '；'→'C' 26.37pt/9.302mm (限5.23)
  p6 y=349.9 [CJK-西文] '；'→'D' 18.16pt/6.407mm (限5.23)
  p6 y=397.9 [CJK-西文] '；'→'D' 20.62pt/7.274mm (限5.23)
  p6 y=412.9 [CJK-西文] ']'→'设' 6.24pt/2.2mm (限5.23)
  p6 y=577.3 [CJK-西文] ']'→'在' 6.24pt/2.2mm (限5.23)
  p6 y=617.1 [CJK-西文] '；'→'B' 11.83pt/4.172mm (限5.23)
  p6 y=617.1 [CJK-西文] '；'→'C' 10.76pt/3.796mm (限5.23)
  p6 y=617.1 [CJK-西文] '；'→'D' 17.66pt/6.231mm (限5.23)
  p6 y=645.0 [CJK-西文] ']'→'已' 6.24pt/2.2mm (限5.23)
  p6 y=696.9 [CJK-西文] ']'→'已' 6.24pt/2.2mm (限5.23)
  p6 y=799.6 [CJK-CJK] '学'→'选' 5.22pt/1.842mm (限2.61)
json → v1_扫描.json
小结：异常行 75／空档 107
