序号	段序号	段文本前20字	段内图数	锚形态	显示宽cm	显示高cm	像素宽	像素高	150dpi自然宽cm	媒体文件	①版心超限	②并排超限	③放大超限	④过小过目
94	930	(空段)	4	inline	8.50	6.84	535	431	9.06	image79.png	0	0	0	0
95	953	(空段)	1	inline	5.74	5.30	339	312	5.74	image80.png	0	0	0	0
96	957	(空段)	1	inline	8.60	6.24	2307	1670	39.06	import_352.png	0	0	0	0
97	964	(空段)	1	inline	8.60	5.97	1088	759	18.42	image88.png	0	0	0	0
98	974	(空段)	1	inline	8.60	5.65	1384	910	23.43	image89.png	0	0	0	0
99	980	(空段)	1	inline	7.35	6.20	434	378	7.35	restored351.png	0	0	0	0
100	999	(空段)	1	inline	5.74	5.29	339	312	5.74	image80.png	0	0	0	0
101	1005	【步骤3 判断法向量方向】	1	inline	7.28	5.80	430	344	7.28	image90.png	0	0	0	0
102	1018	1.2.4.2.2-3．（中档·保80%	1	inline	2.14	0.56	92	24	1.56	image91.png	0	0	1	1
103	1020	(2)设D为的中点，，平面平面，	1	inline	0.69	0.56	29	24	0.49	image92.png	0	0	1	1
104	1023	(2)由面面垂直的性质及判定可得平面，建	1	inline	0.95	0.45	41	19	0.69	image93.png	0	0	1	1
105	1031	∴点A到平面距离为；	1	inline	0.37	0.50	17	20	0.29	image94.png	0	0	1	1
106	1045	(空段)	1	inline	7.48	7.52	442	443	7.48	image95.png	0	0	0	0
107	1051	【步骤1 等体积与建系】	1	inline	5.11	5.13	193	194	3.27	image96.png	0	0	1	0
108	1054	∴点A到平面距离为；	1	inline	0.37	0.50	17	20	0.29	image94.png	0	0	1	1
109	1079	(空段)	1	inline	6.21	6.18	367	365	6.21	image97.png	0	0	0	0
110	1080	(空段)	1	inline	5.50	5.22	325	308	5.50	image98.png	0	0	0	0
111	1106	【步骤1 建系写坐标】	1	inline	7.58	4.57	1838	1110	31.12	image99.png	0	0	0	0
112	1115	(空段)	1	inline	6.98	4.42	412	261	6.98	image100.png	0	0	0	0
113	1119	(空段)	1	inline	8.60	3.51	826	337	13.99	image102.png	0	0	0	0
114	1120	(空段)	1	inline	6.91	4.36	408	257	6.91	image101.png	0	0	0	0
115	1175	(空段)	1	inline	7.17	7.46	465	483	7.87	image103.png	0	0	0	0
116	1182	(空段)	1	inline	6.86	7.36	405	435	6.86	image104.png	0	0	0	0
117	1211	(空段)	1	inline	8.60	8.98	1117	1168	18.91	image105.png	0	0	0	0
118	1213	(空段)	1	inline	8.60	8.98	1117	1169	18.91	image106.png	0	0	0	0
119	1222	(空段)	1	inline	7.53	9.00	1291	1548	21.86	image107.png	0	0	0	0
120	1246	(空段)	1	inline	8.60	8.98	1117	1168	18.91	image108.png	0	0	0	0
121	1255	(空段)	1	inline	8.60	8.98	1117	1168	18.91	image109.png	0	0	0	0
122	1259	(空段)	1	inline	5.50	5.36	325	316	5.50	image111.png	0	0	0	0
123	1260	(空段)	1	inline	8.60	4.72	2890	1593	48.93	image112.png	0	0	0	0
124	1269	(空段)	1	inline	7.08	5.80	418	343	7.08	image113.png	0	0	0	0
125	1286	(空段)	1	inline	6.38	5.80	377	342	6.38	image114.png	0	0	0	0
126	1287	(空段)	1	inline	3.78	2.70	197	140	3.34	image115.png	0	0	1	1
127	1288	(空段)	1	inline	6.38	5.80	377	342	6.38	image114.png	0	0	0	0
128	1289	(空段)	1	inline	3.78	2.70	197	140	3.34	image115.png	0	0	1	1
129	1304	(空段)	1	inline	8.60	7.53	1627	1432	27.55	image116.png	0	0	0	0
130	1305	(空段)	1	inline	8.60	7.53	1627	1432	27.55	image116.png	0	0	0	0
131	1311	(空段)	1	inline	8.60	7.55	1627	1432	27.55	image116.png	0	0	0	0
132	1325	(空段)	1	inline	8.60	3.79	611	270	10.35	image117.png	0	0	0	0
133	1333	，，，为中点，	1	inline	4.80	4.47	868	813	14.70	image118.png	0	0	0	1
134	1347	，，，为中点，	1	inline	4.80	4.47	868	813	14.70	image118.png	0	0	0	1
135	1358	(空段)	1	inline	7.92	8.16	941	975	15.93	image119.png	0	0	0	0
136	1368	(空段)	1	inline	6.21	5.79	367	341	6.21	image120.png	0	0	0	0
137	1374	(空段)	1	inline	8.60	8.01	893	833	15.12	image121.png	0	0	0	0
138	1385	(空段)	1	inline	8.60	2.77	1479	477	25.04	image122.png	0	0	0	0
139	1399	(空段)	1	inline	8.60	5.45	909	578	15.39	image123.png	0	0	0	0
140	1400	(空段)	1	inline	8.60	5.72	987	657	16.71	image124.png	0	0	0	0
141	1407	(空段)	1	inline	8.60	3.92	1974	902	33.42	image125.png	0	0	0	0
142	1411	(空段)	1	inline	8.60	5.14	1974	1176	33.42	image126.png	0	0	0	0
