序号	段序号	段文本前20字	段内图数	锚形态	显示宽cm	显示高cm	像素宽	像素高	150dpi自然宽cm	媒体文件	①版心超限	②并排超限	③放大超限	④过小过目
38	557	则有，整理得，解得或所以直线l的方程为或	4	inline	2.86	0.95	123	41	2.08	image239.png	0	0	1	1
39	593	(空段)	1	inline	8.60	2.11	681	167	11.53	sub3_E_10.png	0	0	0	0
40	601	(空段)	1	inline	2.10	1.99	254	241	4.30	sub3_E_11.png	0	0	0	1
41	606	(空段)	1	inline	8.60	2.18	661	167	11.19	sub3_E_12.png	0	0	0	0
42	682	(空段)	1	inline	7.46	4.43	1119	670	18.95	image55.png	0	0	0	0
43	700	(空段)	1	inline	5.95	5.84	666	655	11.28	image240.png	0	0	0	0
44	713	(空段)	1	inline	8.50	5.07	1021	614	17.29	image241.png	0	0	0	0
45	723	(空段)	1	inline	6.31	4.62	968	711	16.39	image243.png	0	0	0	0
46	727	(空段)	1	inline	5.11	6.35	796	994	13.48	image244.png	0	0	0	0
47	743	(空段)	1	inline	6.00	6.43	784	841	13.27	sub3_E_13.png	0	0	0	0
48	776	(空段)	1	inline	8.60	5.73	1728	1157	29.26	image7.png	0	0	0	0
49	798	(空段)	1	inline	3.31	3.31	914	914	15.48	image56.png	0	0	0	1
50	805	(空段)	1	inline	7.60	5.82	1322	1016	22.38	image58.png	0	0	0	0
51	808	(空段)	1	inline	7.70	6.90	1144	1026	19.37	image57.png	0	0	0	0
52	855	(空段)	1	inline	5.69	6.00	1368	1460	23.16	image245.png	0	0	0	0
53	864	(空段)	1	inline	6.10	5.41	827	731	14.00	image246.png	0	0	0	0
54	875	(空段)	1	inline	8.60	8.87	1335	1388	22.60	image247.png	0	0	0	0
55	882	2.3.1.8-13．（中档·保80%·	4	inline	0.50	0.37	21	16	0.36	image248.png	0	0	1	1
56	882	2.3.1.8-13．（中档·保80%·	4	inline	2.67	0.69	115	29	1.95	image249.png	0	0	1	1
57	882	2.3.1.8-13．（中档·保80%·	4	inline	0.42	0.42	19	19	0.32	image250.png	0	0	1	1
58	882	2.3.1.8-13．（中档·保80%·	4	inline	2.49	0.69	107	29	1.81	image251.png	0	0	1	1
59	886	【详解】设圆的圆心为，圆的圆心为，所以，	5	inline	2.67	0.66	115	29	1.95	image249.png	0	0	1	1
60	886	【详解】设圆的圆心为，圆的圆心为，所以，	5	inline	2.22	0.64	96	27	1.63	image252.png	0	0	1	1
61	886	【详解】设圆的圆心为，圆的圆心为，所以，	5	inline	2.49	0.66	107	29	1.81	image251.png	0	0	1	1
62	886	【详解】设圆的圆心为，圆的圆心为，所以，	5	inline	2.30	0.64	99	27	1.68	image253.png	0	0	1	1
63	886	【详解】设圆的圆心为，圆的圆心为，所以，	5	inline	3.10	0.54	203	35	3.44	image254.png	0	0	0	1
64	888	(空段)	1	inline	4.37	3.97	378	344	6.40	image255.png	0	0	0	1
65	890	【温馨提醒】在处理圆上动点问题时，要熟记	3	inline	0.37	0.45	16	19	0.27	image256.png	0	0	1	1
66	890	【温馨提醒】在处理圆上动点问题时，要熟记	3	inline	0.29	0.29	12	13	0.20	image257.png	0	0	1	1
67	890	【温馨提醒】在处理圆上动点问题时，要熟记	3	inline	0.37	0.37	16	16	0.27	image258.png	0	0	1	1
68	894	(空段)	1	inline	3.61	2.88	213	170	3.61	image259.png	0	0	0	1
69	915	(空段)	1	inline	8.30	2.36	584	166	9.89	sub3_E_14.png	0	0	0	0
70	972	(空段)	1	inline	6.67	6.98	394	413	6.67	image260.png	0	0	0	0
71	1025	(空段)	1	inline	4.67	2.94	276	174	4.67	sub3_E_15.png	0	0	0	1
72	1026	(空段)	1	inline	8.60	2.49	696	201	11.78	sub3_E_16.png	0	0	0	0
73	1049	(空段)	1	inline	6.94	1.81	410	107	6.94	image72.png	0	0	0	0
74	1057	(空段)	1	inline	3.15	3.07	119	116	2.01	image70.png	0	0	1	1
75	1059	(空段)	1	inline	2.25	2.46	85	93	1.44	image71.png	0	0	1	1
76	1061	(空段)	1	inline	3.07	2.51	116	95	1.96	image69.png	0	0	1	1
77	1084	(空段)	1	inline	8.60	8.51	600	595	10.16	image8.png	0	0	0	0
78	1095	(空段)	1	inline	6.47	7.02	402	436	6.81	image9.png	0	0	0	0
79	1117	(空段)	1	inline	8.60	7.35	3532	3051	59.80	image261.png	0	0	0	0
80	1153	(空段)	1	inline	6.50	5.33	792	647	13.41	image73.png	0	0	0	0
81	1206	(空段)	1	inline	4.77	5.35	725	825	12.28	image263.png	0	0	0	1
82	1230	(空段)	1	inline	5.16	3.91	305	231	5.16	image10.png	0	0	0	0
83	1236	(空段)	1	inline	8.60	6.87	606	485	10.26	image11.png	0	0	0	0
84	1246	(空段)	1	inline	4.28	1.73	253	102	4.28	image264.png	0	0	0	1
85	1258	(空段)	1	inline	3.84	2.98	227	177	3.84	image265.png	0	0	0	1
86	1270	(空段)	2	inline	5.57	5.57	329	299	5.57	image266.png	0	0	0	0
87	1270	(空段)	2	inline	5.57	5.06	329	299	5.57	image267.png	0	0	0	0
88	1282	(空段)	1	inline	5.78	5.04	865	762	14.65	image269.png	0	0	0	0
89	1290	(空段)	1	inline	6.10	5.20	912	788	15.44	image270.png	0	0	0	0
90	1363	(空段)	1	inline	8.60	7.75	1251	1132	21.18	image271.png	0	0	0	0
