====================================================================================
[v9册v1(包p7-10)] C:\提示词\工作区\字替对照-0909\靠齐样张-0910\靠齐样张包-v9-21页0911.pdf  页表=[7, 8, 9, 10]
====================================================================================
  页  栏    基线mm   Δ左mm   Δ右mm    档  行首
  7  R  185.94   0.24   0.36   顶格  通法步骤：对照定义逐条核验，存疑条目用反例否
  7  R  192.27   0.32  79.87   顶格  定.
  7  R  198.60   0.66  13.91   顶格  易错点：排除错误项定答案，忌凭直觉误选.
  7  R  206.33   0.24   6.97   顶格  探究点二　空间向量的线性运算：例1 ／变式1
  7  R  214.76   0.24  46.59   顶格  例1[答案]⃗⃗⃗⃗⃗𝑏−⃗⃗⃗⃗⃗𝑎−⃗⃗
  7  R  221.09   0.16  39.90   顶格  题型：空间向量的线性运算
  7  R  227.42   0.32   0.36   顶格  [分析] 连接𝐶𝐴1, 根据直三棱柱的结构特
  7  R  233.74   0.49   0.11   顶格  向量减法的几何意义可得⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗
  7  R  240.07   0.16  48.62   顶格  合已知即可求表达式.
  7  R  246.40   0.32   0.28   顶格  [详解] 连接𝐶𝐴1, 则⃗⃗⃗⃗⃗⃗⃗⃗⃗
  7  R  252.72  -0.01  70.13   顶格  𝑏−⃗⃗⃗⃗⃗𝑎−⃗⃗⃗⃗𝑐.
  7  R  282.81  31.91   9.08   其他  第一章空间向量与立体几何参考答案1
  8  L   23.11   0.16  53.36   顶格  故答案为：⃗⃗⃗⃗⃗𝑏−⃗⃗⃗⃗⃗𝑎−⃗⃗⃗
  8  L   82.44   0.32  46.59   顶格  变式1 [答案]⃗⃗⃗⃗⃗𝑎−⃗⃗⃗⃗⃗𝑏−
  8  L   88.77   0.16  39.90   顶格  题型：空间向量的线性运算
  8  L   95.10   0.32  15.10   顶格  [解析]⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗
  8  L  102.48   0.32  30.08   顶格  [题型总结] 空间向量的线性运算
  8  L  108.80   0.24   0.02   顶格  识别信号：在几何体中给出若干已知向量、要求表
  8  L  115.13   0.41  39.06   顶格  示指定向量时，判归本题型.
  8  L  121.45   0.24   0.62   顶格  通法步骤：为目标向量选一条首尾相接的路径写出
  8  L  127.78   0.24   0.19   顶格  加减链，再把链中各段用相等或共线的已知向量替
  8  L  134.11   0.24  39.06   顶格  换，最后合并化简得表达式.
  8  L  140.43   0.66  10.02   顶格  易错点：复查每段方向与起讫点，防抄错向量.
  8  L  148.17   0.24  14.76   顶格  探究点三　用基底表示向量：例1 ／变式1
  8  L  156.60   0.24  54.38   顶格  例1[答案] 1；1
  8  L  158.76   0.58  54.38   顶格  4
  8  L  162.93   0.16  47.69   顶格  题型：用基底表示向量
  8  L  169.25   0.32   0.19   顶格  [分析] 结合空间向量的线性运算列方程，由此
  8  L  175.58  -0.01  70.21   顶格  𝑥, 𝑦的值.
  8  L  181.91   0.32   0.28   顶格  [详解]⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐴𝐸=⃗
  8  L  184.07   0.32   0.28   顶格  4⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗
  8  L  189.16  -0.10   9.59   顶格  𝐴𝐷)，所以𝑥= 1, 𝑦= 1
  8  L  191.32  -0.10   9.59   顶格  4. 故答案为：1；14
  8  L  197.82   0.32  42.27   顶格  变式1 [答案] 𝑥= 1，𝑦= 1
  8  L  199.98   0.32  42.27   顶格  2
  8  L  204.14   0.16  47.69   顶格  题型：用基底表示向量
  8  L  210.47   0.32  -0.06   顶格  [解析]⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐴𝐸=⃗
  8  L  212.63   0.32  -0.06   顶格  2(⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐴𝐵+⃗⃗⃗⃗
  8  L  217.72  -0.01  31.77   顶格  𝑦= 1
  8  L  219.89  -0.01  74.70   顶格  2.
  8  L  225.11   0.32  37.79   顶格  [题型总结] 用基底表示向量
  8  L  231.43   0.24   0.11   顶格  识别信号：指定三个不共面的向量作基底、要求把
  8  L  237.76   1.00   0.45   其他  目标向量写成基底向量的线性组合并求系数时，判
  8  L  244.08   0.58  68.10   顶格  归本题型.
  8  L  250.41   0.24   0.36   顶格  通法步骤：先把目标向量沿几何路径分解为基底向
  8  L  256.74   0.32  19.58   顶格  量的和，再把各段按比例关系代入基底.
  8  L  263.06   0.66   0.45   顶格  易错点：比较等式两边系数求出待定值，防漏写中
  8  L  269.39   0.58  75.97   顶格  间段.
  8  L  282.81   9.13  31.94   其他  2高中数学选择性必修第一册(人教B 版)
  8  R   23.11   0.24  14.76   顶格  探究点四　共面向量的判定：例1 ／变式1
  8  R   31.55   0.24  58.02   顶格  例1[答案] C
  8  R   37.88   0.16  47.61   顶格  题型：共面向量的判定
  8  R   44.20   0.32   9.76   顶格  [分析] 利用空间向量共面定理逐一判断即可.
  8  R   50.53   0.32   0.02   顶格  [详解] 若⃗⃗⃗⃗⃗𝑎，⃗⃗⃗⃗⃗𝑏共线，
  8  R   56.85   0.16   0.02   顶格  若⃗⃗⃗⃗⃗𝑎，⃗⃗⃗⃗⃗𝑏不共线，则满足共
  8  R   63.18   0.49   0.28   顶格  同理③对；若⃗⃗⃗⃗⃗𝑝与⃗⃗⃗⃗⃗𝑎，⃗⃗
  8  R   69.51  -0.18  18.40   顶格  𝑝=x⃗⃗⃗⃗⃗𝑎+y⃗⃗⃗⃗⃗𝑏，故②不对
  8  R   77.24   0.32   0.19   顶格  变式1 [答案] 共面(⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗
  8  R   83.57  -0.01  20.51   顶格  𝑀𝑃，⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝑀𝐴，
  8  R   89.89   0.16  47.61   顶格  题型：共面向量的判定
  8  R   96.22   0.32   0.19   顶格  [解析]⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝑀
  8  R  102.54   0.24  34.91   顶格  三向量共面，𝑃在平面𝑀𝐴𝐵内.
  8  R  109.93   0.32  37.87   顶格  [题型总结] 共面向量的判定
  8  R  116.25   0.24   0.36   顶格  识别信号：题干给出p=xa+yb 或MP=x
  8  R  122.58   0.41   0.11   顶格  线性表示与“共面”结论的互推说法判断时，判归
  8  R  128.90   0.16  75.97   顶格  题型.
  8  R  135.23   0.24   0.36   顶格  通法步骤：核对充要条件的前提(两向量不共线或
  8  R  141.56   0.32   0.36   顶格  三点不共线) 是否齐备，再对缺前提的说法举共
  8  R  147.88   0.24  68.18   顶格  反例排除.
  8  R  154.21   0.66  27.37   顶格  易错点：最后汇总正确序号定选项.
  8  R  161.94   0.24   3.07   顶格  探究点五　数量积的概念与运算律：例1 ／变式
  8  R  170.38   0.24  55.23   顶格  例1[答案] AD
  8  R  176.70   0.16  35.92   顶格  题型：数量积的概念与运算律
  8  R  183.03   0.32   0.19   顶格  [分析] 根据空间向量数量积的定义与运算律一
  8  R  189.36   0.24  67.59   顶格  判断即可；
  8  R  195.68   0.32   0.02   顶格  [详解] 解：对于A：⃗⃗⃗⃗⃗𝑎2 =⃗⃗
  8  R  202.01   0.24  23.73   顶格  正确；
  8  R  208.33   0.16   0.19   顶格  对于B：因为向量不能做除法，即⃗⃗⃗⃗⃗𝑏⃗
  8  R  210.60   0.16   0.19   顶格  𝑎无意义，故B
  8  R  214.66   0.16  75.38   顶格  错误；
  8  R  220.99   0.16   0.02   顶格  对于C：(⃗⃗⃗⃗⃗𝑎⋅⃗⃗⃗⃗⃗𝑏)2 =
  8  R  227.31   0.16  67.76   顶格  故C 错误；
  8  R  233.64   0.16   0.19   顶格  对于D：(⃗⃗⃗⃗⃗𝑎−⃗⃗⃗⃗⃗𝑏)2 =
  8  R  239.97   0.16  56.75   顶格  D 正确；故选：AD
  8  R  247.70   0.32  54.63   顶格  变式1 [答案] −11
  8  R  254.02   0.16  35.92   顶格  题型：数量积的概念与运算律
  8  R  260.35   0.32   0.28   顶格  [解析]⃗⃗⃗⃗⃗𝑎⋅⃗⃗⃗⃗⃗𝑏= 2 ×
  8  R  266.68   0.16  48.28   顶格  2⃗⃗⃗⃗⃗𝑏2 = 4 + 3 −18 =
  9  L   23.11   0.32  26.10   顶格  [题型总结] 数量积的概念与运算律
  9  L   29.44   0.24   0.02   顶格  识别信号：题干列出数量积相关的若干等式(平方
  9  L   35.77   0.49   8.24   顶格  商式、乘积展开) 要求判断正误时，判归本题型
  9  L   42.09   0.24   0.19   顶格  通法步骤：按定义a·b=|a||b|cosθ
  9  L   48.42   0.16  64.20   顶格  后移项验算.
  9  L   54.75   0.66   2.14   顶格  易错点：警惕向量无除法、数量积无结合律等误用
  9  L   62.48   0.24   6.97   顶格  探究点六　数量积求夹角与投影：例1 ／变式1
  9  L   70.91   0.24  55.82   顶格  例1[答案] 60∘
  9  L   77.24   0.16  39.99   顶格  题型：数量积求夹角与投影
  9  L   83.57   0.32   0.19   顶格  [分析] 方法1：结合图形，平移向量，利用空
  9  L   89.89   0.41  11.20   顶格  的夹角定义来求，但要注意向量夹角的范围；
  9  L   96.22   0.16   0.28   顶格  方法2：先求⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗
  9  L  100.66   0.49   1.13   顶格  𝐵𝐶1 ⋅⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐴𝐶
  9  L  102.96   0.49   0.28   顶格  求cos⟨⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗
  9  L  105.95   0.75   0.28   顶格  |⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐵𝐶1
  9  L  110.38   0.32   0.28   顶格  [详解] 解：方法1：因为⃗⃗⃗⃗⃗⃗⃗⃗⃗
  9  L  116.71   0.24  49.30   顶格  大小就等于⟨⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗
  9  L  121.13   0.49   0.11   顶格  ∘，所
  9  L  123.04   0.49   0.11   顶格  因为△𝐶𝐴𝐷1 为等边三角形，所以∠𝐶𝐴𝐷1
  9  L  129.36   0.49  29.32   顶格  以⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐵𝐶1
  9  L  135.69   0.16   0.28   顶格  方法2．设正方体的棱长为1，⃗⃗⃗⃗⃗⃗⃗⃗
  9  L  142.02   0.07   0.28   顶格  𝐶𝐶1) ⋅(⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐴𝐵
  9  L  148.34   0.32   0.28   顶格  |⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐴𝐷|2 +⃗
  9  L  154.67   0.49   0.28   顶格  1 又因为|⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗
  9  L  159.11   0.49   1.63   顶格  𝐵𝐶1 ⋅⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐴𝐶1
  9  L  161.42   0.49   0.02   顶格  == 1
  9  L  163.58   0.49   0.02   顶格  2，因为⟨⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗
  9  L  164.22   0.75   0.02   顶格  √2 × √2
  9  L  164.40   0.75   0.02   顶格  |⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐵𝐶1
  9  L  168.88   0.16  25.42   顶格  所以⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐵𝐶
  9  L  177.44   0.32  53.96   顶格  变式1 [答案] √10
  9  L  179.62   0.32  56.24   顶格  5
  9  L  183.76   0.16  39.99   顶格  题型：数量积求夹角与投影
  9  L  190.09   0.32  -0.06   顶格  [解析]⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗
  9  L  194.12   0.32   0.28   顶格  4
  9  L  196.41   0.32   0.28   顶格  |⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐴𝐵1
  9  L  199.22   0.32   3.83   顶格  √5 × 2√2
  9  L  203.71   0.92  77.75   其他  √10
  9  L  208.78   0.49  76.73   顶格  5 .
  9  L  213.97   0.32  30.00   顶格  [题型总结] 数量积求夹角与投影
  9  L  220.30   0.24   0.36   顶格  识别信号：题干在几何体中求两向量的夹角、模长
  9  L  226.63   0.32  23.48   顶格  或投影而不建坐标系时，判归本题型.
  9  L  232.95   0.24   0.19   顶格  通法步骤：先平移向量使起点共点或选不共面的三
  9  L  239.28   0.41   0.11   顶格  个向量作基底，再把相关向量用基底表示并算出数
  9  L  245.61   0.32  64.20   顶格  量积与模长.
  9  L  251.93   0.66   0.28   顶格  易错点：最后代入夹角公式并按向量夹角范围[0
  9  L  258.26   0.24  75.97   顶格  取角.
  9  L  265.99   0.24  14.76   顶格  探究点七　数量积条件求参：例1 ／变式1
  9  R   23.30   0.24  31.86   顶格  例1[答案] (−1 −√3, −1 + √
  9  R   29.63   0.16  47.52   顶格  题型：数量积条件求参
  9  R   35.96   0.32   0.19   顶格  [分析] 根据(⃗⃗⃗⃗⃗𝑎+ 𝜆⃗⃗⃗⃗⃗
  9  R   42.28   0.32   0.45   顶格  −1 −√3 < 𝜆< −1 + √3，若向
  9  R   48.61   0.16   0.45   顶格  共线时，则存在实数𝑘< 0 使得⃗⃗⃗⃗⃗𝑎
  9  R   54.18   0.66   2.99   顶格  𝑘𝜆= 1
  9  R   57.12   0.16   1.97   顶格  成立，得到方程组{无解，即可得到答案.
  9  R   60.82  30.55  38.04   其他  𝜆= −2𝑘
  9  R   66.51   0.32   0.28   顶格  [详解] 由向量⃗⃗⃗⃗⃗𝑎,⃗⃗⃗⃗⃗𝑏，
  9  R   72.83   0.16  40.75   顶格  得⃗⃗⃗⃗⃗𝑎⋅⃗⃗⃗⃗⃗𝑏= 2 × 1 
  9  R   79.16   0.49   0.28   顶格  因为向量⃗⃗⃗⃗⃗𝑎+𝜆⃗⃗⃗⃗⃗𝑏与𝜆⃗⃗
  9  R   85.49   0.41   0.28   顶格  𝜆⃗⃗⃗⃗⃗𝑏, 𝜆⃗⃗⃗⃗⃗𝑎−2⃗⃗⃗⃗
  9  R   91.81   0.41   0.11   顶格  𝜆⃗⃗⃗⃗⃗𝑏) ⋅(𝜆⃗⃗⃗⃗⃗𝑎−2⃗⃗
  9  R   98.14   0.49   8.15   顶格  以𝜆2 + 2𝜆−2 < 0，解得−1 −√
  9  R  104.46   0.16   0.02   顶格  若向量⃗⃗⃗⃗⃗𝑎+𝜆⃗⃗⃗⃗⃗𝑏与𝜆⃗⃗⃗
  9  R  109.95   0.58   0.19   顶格  𝑘𝜆= 1
  9  R  112.89   0.16   0.19   顶格  使得⃗⃗⃗⃗⃗𝑎+𝜆⃗⃗⃗⃗⃗𝑏= 𝑘(𝜆⃗
  9  R  116.59  57.05  11.45   其他  𝜆= −2𝑘
  9  R  122.28   0.16   0.28   顶格  方程组无解，所以不存在实数𝑘使得向量⃗⃗⃗⃗
  9  R  128.60   0.41   0.28   顶格  𝜆⃗⃗⃗⃗⃗𝑎−2⃗⃗⃗⃗⃗𝑏反向共线，所以
  9  R  134.34   0.49  64.29   顶格  √3, −1 + √3).
  9  R  142.66   0.32  55.57   顶格  变式1 [答案] −3
  9  R  144.82   0.32  55.74   顶格  2
  9  R  148.99   0.16  47.52   顶格  题型：数量积条件求参
  9  R  155.31   0.32   0.28   顶格  [解析]⃗⃗⃗⃗⃗⃗⃗𝑚⋅⃗⃗⃗⃗⃗𝑛= (
  9  R  161.64  -0.01   5.70   顶格  𝑏= 18 + 16𝜆−12(1 + 𝜆) 
  9  R  163.80   0.16   5.70   顶格  2.
  9  R  169.02   0.32  37.79   顶格  [题型总结] 数量积条件求参
  9  R  175.35   0.24   0.70   顶格  识别信号：题干给出两向量的模与夹角、并以夹角
  9  R  181.67   0.41   0.11   顶格  为锐角/钝角或两向量垂直为条件求参数时，判归
  9  R  188.00   0.16  75.97   顶格  题型.
  9  R  194.33   0.24   0.36   顶格  通法步骤：第一步用数量积把条件翻译成不等式或
  9  R  200.65   0.41  17.97   顶格  方程(锐角cos>0、钝角cos<0、垂直c
  9  R  206.98   0.66   0.36   顶格  易错点：再求解并剔除使两向量共线的参数，最后
  9  R  213.30   0.41  44.73   顶格  写出参数值或取值范围.
  9  R  221.04   0.24   4.09   顶格  探究点八　数量积求距离(展开法)：例1 ／变
  9  R  229.47   0.24  57.77   顶格  例1[答案] D
  9  R  235.80   0.16  36.94   顶格  题型：数量积求距离(展开法)
  9  R  242.12   0.32   0.19   顶格  [分析] 由⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐷
  9  R  248.45   0.16  53.36   顶格  展开即可得到答案
  9  R  254.78   0.32   0.28   顶格  [详解] ∵⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐵
  9  R  261.10   0.32   0.02   顶格  |⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐸𝐷|2 +
  9  R  267.43   0.16  45.07   顶格  故|⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐵𝐷| =
  9  R  282.81  31.91   9.08   其他  第一章空间向量与立体几何参考答案3
 10  L   23.11   0.32   0.36   顶格  [点睛] 本题是要求空间两点之间的距离，运用
 10  L   29.44   0.49  10.02   顶格  向量将其表示，然后计算得到结果，较为基础.
 10  L   37.17   0.32  56.24   顶格  变式1 [答案] √2
 10  L   43.50   0.16  36.94   顶格  题型：数量积求距离(展开法)
 10  L   49.83   0.32   0.02   顶格  [解析] |⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐵
 10  L   56.15   0.16  64.20   顶格  故|⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐵𝐷| =
 10  L   63.53   0.32  27.12   顶格  [题型总结] 数量积求距离(展开法)
 10  L   69.86   0.24   0.19   顶格  识别信号：题干在含二面角的拼接图形中求两点距
 10  L   76.19   0.75  54.63   顶格  离时，判归本题型.
 10  L   82.51   0.24   0.19   顶格  通法步骤：第一步把待求线段对应的向量写成已知
 10  L   88.84   0.24   0.11   顶格  棱向量的首尾相接和链，再对模长平方作数量积展
 10  L   95.16   0.41   0.19   顶格  开，逐项代入模长与夹角(端点处两条垂线段的夹
 10  L  101.49   0.58  20.01   顶格  角由二面角决定，注意取45° 还是135°)
 10  L  107.82   0.66  42.95   顶格  易错点：最后开方得距离.
 10  L  115.55   0.24   0.45   顶格  探究点九　数量积求距离(折叠矩形)：例1 ／
 10  L  123.98   0.24  57.68   顶格  例1[答案] A
 10  L  130.31   0.16  33.04   顶格  题型：数量积求距离(折叠矩形)
 10  L  136.64   0.32  -0.06   顶格  [分析] 过点𝐵，𝐷分别向𝐴𝐶作垂线，垂足分
 10  L  142.96  -0.01   0.11   顶格  𝑁，由⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐵𝐷=⃗
 10  L  149.29   0.16  64.20   顶格  关系可得解.
 10  L  155.61   0.32   0.28   顶格  [详解] 过点𝐵，𝐷分别向𝐴𝐶作垂线，垂足分
 10  L  162.67   0.24  -0.06   顶格  为𝑀，𝑁，则可得𝐴𝑀= 1
 10  L  164.83   0.24  -0.06   顶格  2，𝐵𝑀= √32 ，𝐶𝑁= 12，
 10  L  171.18   0.07   0.11   顶格  𝐷𝑁= √3
 10  L  173.34   0.07   0.11   顶格  2 ，𝑀𝑁= 1. 由于⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗
 10  L  174.71   0.49   0.28   顶格  2= |⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐵
 10  L  177.51   0.49   0.28   顶格  以|⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐵𝐷|2 
 10  L  184.43   0.16   0.28   顶格  2(⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐵𝑀⋅
 10  L  186.59   0.16   0.28   顶格  2 )2 +12 +(√32 )2 +
 10  L  192.94   0.16  14.33   顶格  2 × (0 + 0 + 0) = 5
 10  L  195.10   0.16  14.33   顶格  2，所以|⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗𝐵𝐷
 10  L  282.81   9.05  31.94   其他  4高中数学选择性必修第一册(人教B 版)
 10  R   23.11   0.32   0.36   顶格  [点睛] 本题主要考查了空间向量数量积的应用
 10  R   29.44   0.32  68.18   顶格  于基础题.
 10  R   37.57   0.32  53.96   顶格  变式1 [答案] √13
 10  R   39.73   0.32  53.96   顶格  2
 10  R   43.90   0.16  33.04   顶格  题型：数量积求距离(折叠矩形)
 10  R   51.00   0.32   0.11   顶格  [解析] 𝐵𝑀= 𝐷𝑁= √3
 10  R   53.17   0.32   0.11   顶格  2 ，𝑀𝑁= 1；两垂线向量夹角随
 10  R   58.26   0.16   0.28   顶格  二面角为60∘，⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗⃗
 10  R   60.42   0.16   0.28   顶格  4 cos 60∘= 38；|⃗⃗⃗⃗⃗⃗⃗
 10  R   64.53   0.66  37.19   顶格  3
 10  R   68.98   0.49  35.84   顶格  4 + 2 × 38 = 134 ，故|⃗⃗
 10  R   74.20   0.32  23.22   顶格  [题型总结] 数量积求距离(折叠矩形)
 10  R   80.53   0.24   0.36   顶格  识别信号：题干为平面图形沿一条直线折起且折后
 10  R   86.85   0.49  17.80   顶格  两面垂直、求两点间距离时，判归本题型.
 10  R   93.18   0.24   0.19   顶格  通法步骤：第一步在折后图形中过两点对折痕作垂
 10  R   99.51   0.41   0.02   顶格  线定出垂足，再把目标向量写成两段垂线与折痕段
 10  R  105.83   0.41  52.52   顶格  的和链并平方展开.
 10  R  112.16   0.66   0.19   顶格  易错点：最后利用面面垂直带来的向量垂直逐项化
 10  R  118.48   0.58  58.61   顶格  简、开方得距离.
 10  R  126.22   0.32   4.09   顶格  三、课堂评价：本组共5 题——题号与导学件同
 10  R  134.65   0.41  65.13   顶格  1. [答案] 3
 10  R  140.98   0.32  17.97   顶格  [解析]⃗⃗⃗⃗⃗𝑎⋅⃗⃗⃗⃗⃗𝑏= |⃗⃗
 10  R  148.71   0.24  64.46   顶格  2. [答案] B
 10  R  155.04   0.32  13.40   顶格  [解析]⃗⃗⃗⃗⃗𝑏= 𝜆⃗⃗⃗⃗⃗𝑎⇒4 
 10  R  162.77   0.16  64.37   顶格  3. [答案] C
