[690] 1.2.2.6.1 多面体截面问题（补全截面）
[691] 2题：-6～7
[725] ∵⟦PD=DM=3⟧，⟦∠PDM=90°⟧，则⟦△PDM⟧为等腰直角三角形，则⟦PM=√(2)PD=3√(2)⟧，同理可知，⟦△PDN⟧也为等腰直角三角形，同理可知，⟦SM=√(2)CM=√(2)⟧，∴⟦PS=PM-SM=2√(2)⟧，
[726] 同理⟦PR=2√(2)⟧，由勾股定理可得⟦FS=RE=EF=√(BE^(2)+BF^(2))=√(2)⟧，则截面的周长为⟦2×2√(2)+3√(2)=7√(2)⟧，即③正确；
[727] 对于④：设截面⟦α⟧交棱⟦AA_(1)⟧于点R，
[728] 假设存在平面⟦α⟧，使得点⟦A_(1)⟧到平面⟦α⟧距离是A到平面⟦α⟧距离的两倍，则⟦{(A_(1)R)/(AR)=2 ‖ AR+A_(1)R=4⟧，可得⟦AR=(4)/(3)⟧，
[729] ∵⟦AR∥DP⟧，则⟦(AR)/(DP)=(AN)/(DN)=(1)/(3)⟧，则⟦DP=3AR=4⟧，不符合题意；
[730] 即不存在平面⟦α⟧，使得点⟦A_(1)⟧到平面⟦α⟧距离是A到平面⟦α⟧距离的两倍，
[731] ∴④错误．综上所述，①③正确.
[732] ∴选：B.
[733] 1.2.2.6.1-7．（中档）已知正方体⟦ABCD-A_(1)B_(1)C_(1)D_(1)⟧的体积为⟦1⟧，点⟦M⟧在线段⟦BC⟧上点⟦M⟧异于点⟦B⟧，⟦C⟧，点⟦N⟧在线段⟦CC_(1)⟧上，且⟦CN=(1)/(3)⟧，若平面⟦AMN⟧截正方体⟦ABCD-A_(1)B_(1)C_(1)D_(1)⟧所得的截面为四边形，则线段⟦BM⟧长的取值范围为（）
[734] 【图】
[735] 【图】
[736] 			A．⟦[(2)/(3),1)⟧；B．⟦[(1)/(3),(2)/(3)]⟧；C．⟦(0,(1)/(3)]⟧；D．⟦(0,(2)/(3)]⟧
[737] 【⁠答⁠案⁠】
[738]  D
[739] 【⁠分⁠析⁠】 找截面由四边形变为五边形的临界位置，
[740] 再利用平行关系求临界值并确定范围。
[741] 【⁠知⁠识⁠点⁠】
[742] 1.2.2 面面平行证明线线平行、由平面的基本性质作截面图形、判断正方体的截面形状
[743] 【⁠详⁠解⁠】∵正方体⟦ABCD-A_(1)B_(1)C_(1)D_(1)⟧的体积为⟦1⟧，
[744] ∴其棱长为⟦1⟧，
[745] 如图所示，平面⟦AMN⟧截正方体⟦ABCD-A_(1)B_(1)C_(1)D_(1)⟧所得的截面为四边形的临界位置
[746] ∵平面⟦AA_(1)D_(1)D∥⟧平面⟦BB_(1)C_(1)C⟧
[747] 平面⟦AMN∩⟧平面⟦AA_(1)D_(1)D=AD_(1)⟧,
[748] 平面⟦AMN∩⟧平面⟦BB_(1)C_(1)C=MN⟧,
[749] ∴⟦AD_(1)∥MN⟧，
[750] 易得⟦MN∥BC_(1)⟧
[751] ∴⟦CN=CM=(1)/(3)⟧，
[752] ∴⟦BM=(2)/(3)⟧
[753] ∴，当⟦0<BM≤(2)/(3)⟧时，截面为四边形，
[754] 当⟦BM>(2)/(3)⟧时，截面为五边形，
[755] ∴所求的线段⟦BM⟧的取值范围为⟦(0，(2)/(3)]⟧.
[756] ∴选：D.
[757] 【⁠点⁠睛⁠】本题考查截面图形问题，面面平行的性质，属于中档题.
[758] 【图】
[759] 1.2.3 直线与平面的夹角
