========================================================================================================
v10 包 21 页逐页证据（卷四·1 检查单机器项；⑥缩进＝_缩进复测.py 另册留档）
========================================================================================================
p 1   210×297 ①注记题源待补,待源,待补 ②品牌全品,学练考 ③题源0/高考域5 ④真压字0（白底0/页码块0/墨盒0） ④b图0/压字0/越栏0 ⑤拉伸0(峰0.00) 断孤行0 ⑥另册  ｜v9→v10 gk:0→5；①['内部口径']→['题源待补', '待源', '待补']；②['全品']→['全品', '学练考']
p12   210×297 ①注记0 ②品牌0 ③题源0/高考域0 ④真压字0（白底12/页码块1/墨盒0） ④b图0/压字0/越栏0 ⑤拉伸18(峰9.52) 断孤行0 ⑥另册  ｜v9→v10 全同
p13   210×297 ①注记0 ②品牌0 ③题源0/高考域0 ④真压字0（白底0/页码块1/墨盒0） ④b图0/压字0/越栏0 ⑤拉伸1(峰5.39) 断孤行1(叉项．) ⑥另册  ｜v9→v10 断[]→['叉项．']
p14   210×297 ①注记0 ②品牌0 ③题源0/高考域0 ④真压字0（白底0/页码块1/墨盒0） ④b图0/压字0/越栏0 ⑤拉伸4(峰10.74) 断孤行1(夹角．) ⑥另册  ｜v9→v10 j4:13→4；j4max:13.65→10.74；断['即可．', '思考．']→['夹角．']
p15  400×284横 ①注记0 ②品牌0 ③题源0/高考域0 ④真压字2（白底0/页码块0/墨盒0） ④b图0/压字0/越栏0 ⑤拉伸0(峰0.00) 断孤行1(数学) ⑥另册  ｜v9→v10 全同
p16  400×284横 ①注记0 ②品牌0 ③题源0/高考域0 ④真压字0（白底0/页码块0/墨盒0） ④b图0/压字0/越栏0 ⑤拉伸0(峰0.00) 断孤行0 ⑥另册  ｜v9→v10 ②['全品', '学练考']→[]
p17   210×297 ①注记0 ②品牌0 ③题源0/高考域0 ④真压字2（白底0/页码块0/墨盒1） ④b图0/压字0/越栏0 ⑤拉伸0(峰0.00) 断孤行2(导学案,目录) ⑥另册  ｜v9→v10 全同
p18   210×297 ①注记0 ②品牌0 ③题源0/高考域0 ④真压字0（白底0/页码块0/墨盒0） ④b图0/压字0/越栏0 ⑤拉伸0(峰0.00) 断孤行0 ⑥另册  ｜v9→v10 全同
p19   210×297 ①注记0 ②品牌0 ③题源0/高考域0 ④真压字0（白底0/页码块0/墨盒0） ④b图0/压字0/越栏0 ⑤拉伸0(峰0.00) 断孤行0 ⑥另册  ｜v9→v10 全同
p20   210×297 ①注记0 ②品牌0 ③题源0/高考域2 ④真压字0（白底4/页码块1/墨盒0） ④b图0/压字0/越栏0 ⑤拉伸15(峰10.67) 断孤行2((是),律) ⑥另册  ｜v9→v10 gk:6→2；①['题源待补', '待源', '待补']→[]
p21   210×297 ①注记0 ②品牌0 ③题源0/高考域0 ④真压字0（白底12/页码块1/墨盒0） ④b图0/压字0/越栏0 ⑤拉伸14(峰7.12) 断孤行1(平行．) ⑥另册  ｜v9→v10 全同
========================================================================================================
合计：注记命中页 [1] ｜品牌命中页 [1] ｜真压字页 [15, 17] ｜图越栏页 [] ｜图压字页 [] ｜拉伸合计 139 （v9＝ 142 ）
