| 01-G1 | 导学 | 成品卷①2.1.2-1 | 简 |
| 04-E10 | 练习·解答 | 教材2.2.2练习B·④（三小问） | 中 |
| 04-T1 | 拓展·收难 | 2章件3-#15（两问） | 中偏难 |
| 05-G1 | 导学 | 2章件3-#20 | 简 |
| 05-G2 | 导学 | 2章件3-#32 | 简 |
| 05-G3 | 导学 | 2章件3-#33 | 简 |
| 05-G4 | 导学 | 成品卷①2.2.2.5-7 | 简 |
| 05-G5 | 导学 | 2章件4-#19 | 简 |
| 05-E1 | 练习·选择 | 2章件3-#16 | 简 |
| 05-E2 | 练习·选择 | 2章件3-#17 | 中 |
| 05-E3 | 练习·选择 | 2章件3-#19 | 简 |
| 05-E4 | 练习·选择 | 2章件3-#25 | 简 |
| 05-E5 | 练习·选择 | 2章件3-#31 | 中 |
| 05-E6 | 练习·选择 | 2章件3-#34 | 简 |
| 05-E7 | 练习·选择 | 2章件3-#35 | 简 |
| 05-E8 | 练习·选择 | 2章件4-#1 | 简 |
| 05-E9 | 练习·选择 | 2章件4-#3 | 简 |
| 05-E10 | 练习·选择 | 2章件4-#7 | 简 |
| 05-E11 | 练习·填空 | 2章件3-#18 | 简 |
| 05-E12 | 练习·填空 | 2章件3-#26 | 中 |
| 05-E13 | 练习·解答 | 教材2.2.2练习B·①（三小问） | 简 |
| 05-E14 | 练习·解答 | 教材2.2.2练习B·②（两问） | 中 |
| 05-E15 | 练习·解答 | 教材2.2.2练习B·⑥ | 中 |
| 05-E16 | 练习·解答 | 教材习题2—2·B组⑩（六小问） | 中 |
| 05-T1 | 拓展 | 教材2.2.2练习B·⑦…见注 | 中 |
| 05-T2 | 拓展 | 教材习题2—2·B组③ | 中 |
| 05-T3 | 拓展 | 教材习题2—2·A组⑨ | 中 |
| 05-T4 | 拓展·收难 | 成品卷①2.2.2.2.1-3 | 中 |
| 05-T5 | 拓展·收难 | 成品卷①2.2.2.2.2-4（两问） | 中 |
| 05-T6 | 拓展·收难 | 成品卷①2.2.2.4-5（两问） | 中 |
| 05-T7 | 拓展·收难 | 成品卷①2.2.2.4-6（两问） | 中 |
| 05-T8 | 拓展·收难 | 2章件4-#22（三问·已修正(1)问源误） | 中 |
| 05-T9 | 拓展·收难（需选学§2.2.4点到直线距离公式，加注前置） | 难 | 难 |
| 05-T10 | 拓展·收难（需选学§2.2.4，加注前置） | 难 | 难 |
